Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6
P9XX99_0y_9,P9988,0,85C,230410,0x00:,174.5993,1,0x0009,10.0006,0x000e,5.0003,0x0a,20,0x00000014,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,158.8942,1,0x0009,10.0006,0x000e,5.0003,0x0a,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,174.5993,1,0x0009,10.0006,0x000e,5.0003,0x0d,25,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,158.8942,1,0x0009,10.0006,0x000e,5.0003,0x0d,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,174.5993,1,0x0009,10.0006,0x000e,5.0003,0x10,30,0x00000009,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,158.8942,1,0x0009,10.0006,0x000e,5.0003,0x10,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,174.5993,1,0x0009,10.0006,0x000e,5.0003,0x15,40,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,158.8942,1,0x0009,10.0006,0x000e,5.0003,0x15,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,174.5993,1,0x0009,10.0006,0x000e,5.0003,0x1d,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,158.8942,1,0x0009,10.0006,0x000e,5.0003,0x1d,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,180.2083,1,0x0009,10.0006,0x000f,5.0003,0x0a,20,0x00000013,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,151.3622,1,0x0009,10.0006,0x000f,5.0003,0x0a,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,180.2083,1,0x0009,10.0006,0x000f,5.0003,0x0d,25,0x00000006,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,151.3622,1,0x0009,10.0006,0x000f,5.0003,0x0d,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,180.2083,1,0x0009,10.0006,0x000f,5.0003,0x10,30,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,151.3622,1,0x0009,10.0006,0x000f,5.0003,0x10,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,180.2083,1,0x0009,10.0006,0x000f,5.0003,0x15,40,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,151.3622,1,0x0009,10.0006,0x000f,5.0003,0x15,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,180.2083,1,0x0009,10.0006,0x000f,5.0003,0x1d,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0xff:,151.3622,1,0x0009,10.0006,0x000f,5.0003,0x1d,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9XX99_0y_9,P9988,0,85C,230410,0x00:,180.4487,1,0x0009,10.0006,0x0010,5.0003,0x0a,20,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
